job_id,technician,start_time,status,end_time
1,David,2025-02-17 06:44:28.499807,validated,2025-02-17 09:44:28.499807
2,Eve,2025-03-10 04:44:28.499807,created,2025-03-10 08:44:28.499807
3,Charlie,2025-03-08 04:44:28.499807,started,2025-03-08 05:44:28.499807
4,Eve,2025-03-09 05:44:28.499807,paused,2025-03-09 06:44:28.499807
5,Eve,2025-03-05 05:44:28.499807,validated,2025-03-05 09:44:28.499807
6,Bob,2025-03-15 06:44:28.499807,synchronized,2025-03-15 07:44:28.499807
7,Charlie,2025-03-16 04:44:28.499807,cancelled,2025-03-16 08:44:28.499807
8,Charlie,2025-03-01 04:44:28.499807,started,2025-03-01 07:44:28.499807
9,Charlie,2025-02-22 04:44:28.499807,cancelled,2025-02-22 08:44:28.499807
10,Eve,2025-02-22 07:44:28.499807,completed,2025-02-22 10:44:28.499807
11,David,2025-02-15 04:44:28.499807,synchronized,2025-02-15 08:44:28.499807
12,Charlie,2025-02-21 07:44:28.499807,synchronized,2025-02-21 08:44:28.499807
13,Eve,2025-03-12 06:44:28.499807,completed,2025-03-12 10:44:28.499807
14,Bob,2025-03-14 07:44:28.499807,started,2025-03-14 08:44:28.499807
15,David,2025-03-05 06:44:28.499807,completed,2025-03-05 10:44:28.499807
16,Bob,2025-03-09 04:44:28.499807,cancelled,2025-03-09 08:44:28.499807
17,David,2025-02-23 04:44:28.499807,created,2025-02-23 06:44:28.499807
18,Eve,2025-02-18 06:44:28.499807,synchronized,2025-02-18 07:44:28.499807
19,Alice,2025-03-14 05:44:28.499807,scheduled,2025-03-14 07:44:28.499807
20,David,2025-03-16 06:44:28.499807,scheduled,2025-03-16 07:44:28.499807
21,Bob,2025-03-14 05:44:28.499807,cancelled,2025-03-14 07:44:28.499807
22,Eve,2025-03-12 07:44:28.499807,paused,2025-03-12 10:44:28.499807
23,David,2025-03-02 07:44:28.499807,validated,2025-03-02 11:44:28.499807
24,Alice,2025-03-03 07:44:28.499807,completed,2025-03-03 08:44:28.499807
25,Alice,2025-03-14 04:44:28.499807,completed,2025-03-14 05:44:28.499807
26,Charlie,2025-03-16 07:44:28.499807,paused,2025-03-16 11:44:28.499807
27,Charlie,2025-03-12 05:44:28.499807,paused,2025-03-12 06:44:28.499807
28,Bob,2025-02-19 07:44:28.499807,cancelled,2025-02-19 08:44:28.499807
29,David,2025-02-22 06:44:28.499807,cancelled,2025-02-22 08:44:28.499807
30,David,2025-03-03 06:44:28.499807,paused,2025-03-03 07:44:28.499807
31,Charlie,2025-03-10 04:44:28.499807,synchronized,2025-03-10 07:44:28.499807
32,David,2025-02-18 06:44:28.499807,cancelled,2025-02-18 09:44:28.499807
